,2000,2001,2002,2003,2004,2005,2006,2007,2008,
5,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,2,
11,0,0,0,0,0,0,0,0,0,
12,0,0,2,0,0,0,2,0,0,
13,0,0,0,0,0,0,2,0,0,
14,0,0,0,0,1,0,2,0,0,
15,0,0,0,0,2,0,3,0,0,
16,0,0,0,0,3,0,4,0,2,
17,0,0,0,1,8,0,8,0,2,
18,0,0,0,2,9,0,7,0,3,
19,2,0,1,3,9,1,12,0,6,
20,2,1,2,2,10,3,21,0,6,
21,3,3,2,4,11,5,35,0,8,
22,8,4,2,8,11,4,28,0,11,
23,8,11,6,8,21,7,39,0,18,
24,8,15,7,12,14,17,34,0,16,
25,7,28,15,11,15,12,27,0,26,
26,10,35,13,25,19,26,23,2,45,
27,14,33,25,17,15,21,45,1,27,
28,20,58,19,20,22,25,51,2,27,
29,28,44,19,20,18,20,36,5,24,
30,27,49,36,24,19,19,20,8,14,
31,39,39,24,20,19,21,34,13,15,
32,44,74,32,40,21,27,25,23,6,
33,52,91,61,37,16,27,47,18,15,
34,37,67,59,26,31,34,33,29,30,
35,34,55,50,25,35,38,33,34,29,
36,20,63,30,39,22,33,23,21,35,
37,30,56,24,23,27,27,37,28,28,
38,19,34,32,29,18,27,23,19,17,
39,22,36,31,14,16,29,32,12,18,
40,19,20,35,23,14,18,24,13,34,
41,11,27,27,23,10,32,15,20,36,
42,13,20,26,18,8,20,22,13,11,
43,7,16,15,15,13,28,22,8,14,
44,7,13,11,23,6,23,15,7,8,
45,7,12,11,11,6,19,9,5,6,
46,6,8,12,12,6,19,10,4,3,
47,4,7,7,8,3,12,8,3,2,
48,3,6,9,5,5,6,14,3,2,
49,4,6,6,10,3,8,6,4,2,
50,4,3,3,5,3,8,5,1,2,
51,2,3,3,4,3,5,6,0,2,
52,1,3,4,3,1,5,3,0,0,
53,2,1,2,3,2,3,3,0,0,
54,2,2,2,2,1,2,2,0,3,
55,1,2,2,2,0,2,1,0,0,
56,0,1,1,1,2,2,1,0,0,
57,0,0,0,1,0,0,0,0,0,
58,1,2,0,4,0,2,0,0,4,
